,city,country,lat,lng,temp,humidity,cloudiness,wind_speed
0,bethel,us,64.693748760086,-157.12656868352445,10.4,72,1,3.49
1,saskylakh,ru,89.94366374206373,109.85590644211882,-5.76,72,36,8.63
2,east london,za,-41.66710277806457,33.93069632672566,56.89,100,92,33.13
3,ushuaia,ar,-89.50320054312527,-74.61518523467501,-52.92,0,32,10.42
4,clyde river,ca,68.72678744970393,-83.99584133110906,-5.4,82,12,12.55
5,victoria,sc,0.8899603386896693,60.74088689626413,84.25,100,68,6.51
6,busselton,au,-40.354638732551976,101.57873457586531,57.52,100,24,27.09
7,ancud,cl,-40.51007677411476,-99.96922323170978,56.17,100,0,10.98
8,scottsbluff,us,42.370745074333826,-103.22079406007381,31.05,86,90,13.87
9,airai,pw,6.5217370059885225,143.0299736354328,81.91,100,12,10.65
10,katobu,id,-5.090269235359759,125.03424755460026,83.8,100,20,8.97
11,punta arenas,cl,-55.37379175316422,-76.1613272648814,41.13,100,20,10.98
12,midland,ca,44.813124711434895,-79.9148761958129,28.45,42,40,13.87
13,thai binh,vn,19.88898395007715,106.70035019332953,70.12,100,80,13.11
14,hobart,au,-77.62984937045752,150.73273638856213,-58.23,0,20,10.42
15,rikitea,pf,-44.44747245138024,-133.7543042560246,55.18,100,0,19.48
16,kapaa,us,39.637834321987874,-176.01613013619982,50.4,100,64,35.14
17,tazovskiy,ru,71.33292277124205,74.97548607960985,20.44,86,92,18.48
18,new norfolk,au,-57.6563812919825,131.8598894886671,38.25,100,88,24.07
19,rivadavia,ar,-33.789760553159006,-68.61803736283551,70.39,44,0,5.95
20,porto novo,cv,14.043913082216408,-38.524400396280974,74.97,100,92,17.47
21,sahrak,af,34.17512514976872,63.93859865267396,39.7,91,56,2.71
22,taolanaro,mg,-39.14461942781656,54.56664294337254,66.52,93,76,25.75
23,atuona,pf,-6.083983309094102,-140.15217821794158,81,98,64,16.02
24,illoqqortoormiut,gl,87.13909016680827,-14.635152669566583,-13.86,86,24,6.85
25,vanimo,pg,0.1944656424251301,141.37338647103053,83.35,100,0,3.49
26,port elizabeth,za,-83.02221825976414,32.43140577765395,-66.69,0,0,18.25
27,saldanha,za,-44.36020563007074,-2.8994113514188147,53.02,96,0,14.79
28,marathon,us,24.44274860370207,-80.66138396220093,87.8,58,1,10.29
29,tiksi,ru,84.29518937539412,122.00952124279792,10.08,82,68,9.75
30,noumea,nc,-27.128608302546628,162.5176825970649,74.44,100,48,19.15
31,arraial do cabo,br,-30.905923809043358,-37.341544320251394,71.73,100,92,14.23
32,ilulissat,gl,69.69757537878478,-46.34049422006472,0.72,79,0,22.39
33,barentsburg,sj,76.9861446919582,13.554581965185708,16.75,100,0,6.17
34,hermanus,za,-77.6912534418693,10.275474292745146,-55.17,0,36,3.04
35,mataura,pf,-35.768254303789604,-154.06401798153618,68.95,91,88,27.98
36,goderich,sl,3.790149154388649,-18.273322787249654,79.83,100,44,8.63
37,forio,it,40.051921632402156,12.960068568243535,59.5,98,48,8.08
38,rantepao,id,-3.080768622072773,119.83370196179239,64.62,100,20,1.81
39,castro,cl,-46.97045433041288,-79.41141152668577,48.97,100,12,18.48
40,evans,us,32.996409793257314,-82.45793348172639,67.33,88,90,4.7
41,bereda,so,12.228159119724758,51.25670488752456,81.27,91,32,11.99
42,bluff,nz,-74.53386121900743,172.23814019625812,2.88,100,0,15.68
43,alofi,nu,-21.359327225487995,-169.4750533860224,77.14,100,32,13
44,tuktoyaktuk,ca,87.4088210227105,-137.70738936339225,-3.42,77,48,8.41
45,vostok,ru,50.292938152684016,151.53228502459257,31.5,100,92,30.89
46,mananjary,mg,-21.60601254778377,48.50422970200463,76.69,100,80,9.31
47,satitoa,ws,-15.281058955212771,-170.5997771756739,82.62,100,80,10.76
48,revelstoke,ca,51.53288448636274,-117.78925688275055,37.45,59,90,11.41
49,dikson,ru,75.21747973225087,77.94462885080078,-1.17,80,76,19.26
50,kruisfontein,za,-71.19968992164014,27.536301726148626,-2.16,64,48,32.35
51,pisco,pe,-21.639728212186046,-92.25668721407332,69.22,100,8,6.06
52,hilo,us,15.21350799434892,-155.2192125817278,78.75,100,32,19.71
53,mayskiy,ru,48.3667817488163,139.42663298136105,12.6,88,36,2.15
54,albany,au,-66.8218203932512,108.18343329908132,2.88,100,12,15.46
55,marcona,pe,-25.008699827482868,-83.7280122585048,68.14,100,80,13
56,sitka,us,53.35708613342299,-138.52245378492125,43.65,93,92,13.67
57,belushya guba,ru,75.10224403047528,48.570120981350584,23.77,100,92,32.01
58,benguela,ao,-12.061291137275136,8.989690105730258,78.12,100,0,11.99
59,iquitos,pe,-2.718919236939188,-73.11318670244752,89.02,64,48,3.94
60,codrington,ag,20.454180957535453,-60.633522557037196,77.14,100,56,16.91
61,leningradskiy,ru,78.58750140671488,176.92121549203293,7.83,85,56,0.69
62,saint-philippe,re,-32.03279903278342,61.66029317519529,73.27,100,0,16.46
63,itaituba,br,-3.9980231924448772,-54.58616925756306,84.79,66,80,3.6
64,aberdeen,us,45.23597230486372,-98.58494280381818,28.4,46,1,3.36
65,naze,jp,23.45466384085577,134.36679647206952,70.12,100,80,17.81
66,geraldton,au,-33.73558974331348,97.3424893041915,64.9,100,76,20.94
67,talcahuano,cl,-30.978430951441158,-83.7198920572695,68.41,100,8,22.06
68,warrington,us,27.474339909354743,-87.05255481463425,76.87,95,0,19.82
69,delijan,ir,33.5922041873042,51.02330673005119,43.57,100,92,2.93
70,meulaboh,id,-1.9715878133629272,89.11900982734164,84.6,100,0,2.15
71,acajutiba,br,-11.655792046780078,-38.149905968398365,90.91,40,88,10.42
72,torbay,ca,39.81888145675011,-43.00799887796022,59.58,100,0,19.26
73,krasnyy chikoy,ru,49.408804121750684,108.66378488149572,13.5,64,20,2.26
74,souillac,mu,-28.1243341514162,60.43668348842946,76.5,98,32,23.73
75,samusu,ws,-2.5215246771608166,-163.41079133875,81,99,88,13.44
76,nazas,mx,25.41428249409692,-104.21275192903896,80.47,17,0,5.28
